iter	Passed	Remaining
884	983	127
885	984	126
886	985	125
887	986	124
888	987	123
889	988	122
890	989	121
891	990	119
892	991	118
893	992	117
894	993	116
895	994	115
896	995	114
897	996	113
898	997	112
899	998	110
900	999	109
901	1000	108
902	1001	107
903	1002	106
904	1004	105
905	1005	104
906	1006	103
907	1007	102
908	1008	100
909	1009	99
910	1010	98
911	1011	97
912	1011	96
913	1012	95
914	1013	94
915	1014	93
916	1016	91
917	1017	90
918	1018	89
919	1019	88
920	1019	87
921	1020	86
922	1021	85
923	1022	84
924	1023	83
925	1024	81
926	1025	80
927	1026	79
928	1027	78
929	1028	77
930	1029	76
931	1030	75
932	1031	74
933	1032	72
934	1032	71
935	1033	70
936	1034	69
937	1035	68
938	1036	67
939	1037	66
940	1038	65
941	1039	64
942	1040	62
943	1041	61
944	1042	60
945	1043	59
946	1044	58
947	1045	57
948	1046	56
949	1047	55
950	1048	54
951	1049	52
952	1050	51
953	1051	50
954	1052	49
955	1052	48
956	1053	47
957	1054	46
958	1055	45
959	1056	44
960	1057	42
961	1058	41
962	1059	40
963	1060	39
964	1061	38
965	1062	37
966	1063	36
967	1064	35
968	1065	34
969	1066	32
970	1067	31
971	1068	30
972	1069	29
973	1070	28
974	1071	27
975	1072	26
976	1072	25
977	1073	24
978	1075	23
979	1076	21
980	1077	20
981	1078	19
982	1079	18
983	1080	17
984	1081	16
985	1081	15
986	1082	14
987	1083	13
988	1084	12
989	1085	10
990	1086	9
991	1087	8
992	1088	7
993	1089	6
994	1090	5
995	1091	4
996	1092	3
997	1093	2
998	1094	1
999	1095	0
